"","campaign_id","date","time","timezone","advertiser_id","campaign_name","budget","advertiser_name"
"1",99870,"01/11/2018",00:01:00,"UTC",11354,"Christmas cheer",15000,"Coco Cola"
"2",99870,"06/11/2018",15:07:00,"Eastern time",11354,"Christmas cheer",15000,"Coco Cola"
"3",99870,"05/11/2018",22:37:00,"Eastern time",11354,"Christmas cheer",15000,"Coco Cola"
"4",99870,"03/11/2018",11:34:00,"Eastern time",11354,"Christmas cheer",15000,"Coco Cola"
"5",99870,"05/11/2018",04:09:00,"Eastern time",11354,"Christmas cheer",15000,"Coco Cola"
"6",99870,"02/11/2018",16:55:00,"Eastern time",11354,"Christmas cheer",15000,"Coco Cola"
"7",99870,"06/11/2018",21:30:00,"Pacific time",11354,"Christmas cheer",15000,"Coco Cola"
"8",56444,"03/11/2018",06:56:00,"Pacific time",73453,"Run of network",1000,"Ninetendo"
"9",56444,"03/11/2018",06:10:00,"Pacific time",73453,"Run of network",1000,"Ninetendo"
"10",56444,"05/11/2018",12:58:00,"Pacific time",73453,"Run of network",1000,"Ninetendo"
"11",56444,"02/11/2018",23:39:00,"Pacific time",73453,"Run of network",1000,"Ninetendo"
"12",56444,"02/11/2018",21:36:00,"Pacific time",73453,"Run of network",1000,"Ninetendo"
"13",56444,"03/11/2018",08:40:00,"Pacific time",73453,"Run of network",1000,"Ninetendo"
"14",56444,"02/11/2018",05:45:00,"Pacific time",73453,"Run of network",1000,"Ninetendo"
"15",56444,"04/11/2018",07:46:00,"Pacific time",73453,"Run of network",1000,"Ninetendo"
"16",56444,"04/11/2018",14:19:00,"Pacific time",73453,"Run of network",1000,"Ninetendo"
"17",56444,"03/11/2018",19:43:00,"Pacific time",73453,"Run of network",1000,"Ninetendo"
"18",56444,"04/11/2018",23:31:00,"Pacific time",73453,"Run of network",1000,"Ninetendo"
"19",56444,"03/11/2018",00:57:00,"Pacific time",73453,"Run of network",1000,"Ninetendo"
"20",56444,"03/11/2018",08:13:00,"Eastern time",73453,"Run of network",1000,"Ninetendo"
"21",55112,"02/11/2018",02:05:00,"Eastern time",34523,"Q4 performance",250000,"Lever Brows"
"22",55112,"04/11/2018",02:52:00,"Eastern time",34523,"Q4 performance",250000,"Lever Brows"
"23",55112,"05/11/2018",18:34:00,"Eastern time",34523,"Q4 performance",250000,"Lever Brows"
"24",55112,"04/11/2018",03:29:00,"Eastern time",34523,"Q4 performance",250000,"Lever Brows"
"25",55112,"03/11/2018",01:57:00,"Eastern time",34523,"Q4 performance",250000,"Lever Brows"
"26",55112,"05/11/2018",16:52:00,"UTC",34523,"Q4 performance",250000,"Lever Brows"
"27",55112,"05/11/2018",13:38:00,"UTC",34523,"Q4 performance",250000,"Lever Brows"
"28",55112,"03/11/2018",06:31:00,"UTC",34523,"Q4 performance",250000,"Lever Brows"
"29",55112,"05/11/2018",19:31:00,"UTC",34523,"Q4 performance",250000,"Lever Brows"
"30",55112,"04/11/2018",20:08:00,"UTC",34523,"Q4 performance",250000,"Lever Brows"
"31",13354,"05/11/2018",12:47:00,"UTC",11354,"Run of network",9000,"Coco Cola"
"32",13354,"04/11/2018",20:17:00,"UTC",11354,"Run of network",9000,"Coco Cola"
"33",13354,"03/11/2018",11:26:00,"Eastern time",11354,"Run of network",9000,"Coco Cola"
"34",13354,"03/11/2018",20:38:00,"Eastern time",11354,"Run of network",9000,"Coco Cola"
"35",22967,NA,NA,NA,11354,"Test campaign",100,"Coco Cola"
"36",NA,NA,NA,NA,21425,NA,NA,"Bobos"
